"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"1/23/2019","7111289","1548202180","148312215754","2.2.7"
"1/24/2019","7116274","1548288519","149816647735","2.2.7"
"1/25/2019","7121375","1548374948","148748304220","2.2.7"
"1/26/2019","7126462","1548461373","148825677831","2.2.7"
"1/27/2019","7131517","1548547768","149213792743","2.2.7"
"1/28/2019","7136539","1548634184","149379140457","2.2.7"
"1/29/2019","7141416","1548720584","149482159665","2.2.7"
"1/30/2019","7146292","1548806992","150252319363","2.2.7"
"1/31/2019","7151230","1548893366","150040249034","2.2.7"
"2/1/2019","7156164","1548979719","150229784773","2.2.7"
"2/2/2019","7161012","1549066185","150488796034","2.2.7"
"2/3/2019","7165949","1549152555","150684050510","2.2.7"
"2/4/2019","7170805","1549238960","150807543467","2.2.7"
"2/5/2019","7175752","1549325378","150829117977","2.2.7"
"2/6/2019","7180654","1549411752","152411455263","2.2.7"
"2/7/2019","7185533","1549498146","151491578037","2.2.7"
"2/8/2019","7190465","1549584594","151482144154","2.2.7"
"2/9/2019","7195382","1549670996","151564161559","2.2.7"
"2/10/2019","7200281","1549757369","151908132484","2.2.7"
"2/11/2019","7204582","1549843745","151989257957","2.2.7"
"2/12/2019","7208771","1549930175","152043264956","2.2.7"
"2/13/2019","7213043","1550016550","152631196063","2.2.7"
"2/14/2019","7217203","1550102982","152597700963","2.2.7"
"2/15/2019","7221377","1550189370","152850348055","2.2.7"
"2/16/2019","7225536","1550275778","152923191099","2.2.10"
"2/17/2019","7231994","1550409175","153291562878","2.2.10"
"2/18/2019","7233897","1550448577","153267529018","2.2.10"
"2/19/2019","7238097","1550534972","153518658675","2.2.10"
"2/20/2019","7242392","1550621383","153770612878","2.2.10"
"2/21/2019","7246850","1550712615","155198707784","2.2.10"
"2/22/2019","7250875","1550794176","154153245102","2.2.10"
"2/23/2019","7255115","1550880560","154633396764","2.2.10"
"2/24/2019","7259664","1550971156","154732755513","2.2.10"
"2/25/2019","7263727","1551053376","154859736302","2.2.10"
"2/26/2019","7267963","1551139772","155000018026","2.2.10"
"2/27/2019","7272243","1551226152","155092875458","2.2.10"
"2/28/2019","7276521","1551312590","155425550967","2.2.10"
"3/1/2019","7280899","1551398986","155600064438","2.2.10"
"3/2/2019","7286903","1551485381","155759932721","2.2.10"
"3/3/2019","7293291","1551571786","156030386084","2.2.10"
"3/4/2019","7299681","1551658184","156282806797","2.2.10"
"3/5/2019","7306064","1551744566","156576198638","2.2.10"
"3/6/2019","7312491","1551831000","158417785738","2.2.10"
"3/7/2019","7318905","1551917380","158222829202","2.2.10"
"3/8/2019","7325328","1552003781","157161495101","2.2.10"
"3/9/2019","7331716","1552090167","157406381234","2.2.10"
"3/10/2019","7338104","1552176592","157673520260","2.2.10"
"3/11/2019","7344613","1552262988","157909204839","2.2.10"
"3/12/2019","7351004","1552349395","158144558486","2.2.10"
"3/13/2019","7357448","1552435770","158406502305","2.2.10"
"3/14/2019","7363849","1552522193","158726502146","2.2.10"
"3/15/2019","7370286","1552608578","158999421930","2.2.10"
"3/16/2019","7376696","1552694999","159234085409","2.2.10"
"3/17/2019","7383215","1552781368","159385130113","2.2.10"
"3/18/2019","7389628","1552867792","159581638935","2.2.10"
"3/19/2019","7395988","1552954183","159841913124","2.2.10"
"3/20/2019","7402401","1553040584","160654446137","2.2.10"
"3/21/2019","7408882","1553126993","161597711109","2.2.10"
"3/22/2019","7415252","1553213386","161830506337","2.2.10"
"3/23/2019","7421669","1553299793","162134873099","2.2.10"
"3/24/2019","7428093","1553386183","161307579460","2.2.10"
